County,NumberOfShootings,PercentageArmedShootings,PercentageShootingsOnBlack,PercentageShootingsOnHispanic,PercentageShootingsOnWhite,PercentageShootingsOnNative,PercentageShootingsOnAsian,PercentageDemogIsBlack,PercentageDemogIsWhite,PercentageDemogIsHispanic,PercentageDemogIsNative,PercentageDemogIsAsian
McCurtain County,3,100.00,50.00,50.00,0.00,0.00,0.00,8.70,63.50,5.50,15.90,0.60
McDowell County,1,100.00,0.00,0.00,100.00,0.00,0.00,4.10,88.40,5.50,0.70,0.90
McDowell County,1,100.00,0.00,0.00,0.00,0.00,100.00,9.00,88.90,0.60,0.20,0.20
McHenry County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.40,82.20,12.40,0.50,2.80
McIntosh County,1,100.00,0.00,0.00,100.00,0.00,0.00,34.90,61.40,2.00,0.50,0.40
McIntosh County,1,100.00,100.00,0.00,0.00,0.00,0.00,3.20,68.60,2.50,18.20,0.40
McKinley County,2,100.00,0.00,0.00,0.00,100.00,0.00,1.00,9.80,14.00,76.80,0.90
McLennan County,6,100.00,40.00,0.00,60.00,0.00,0.00,15.10,57.30,25.20,1.10,1.60
McLeod County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.70,92.30,5.40,0.40,0.70
McMinn County,1,100.00,0.00,0.00,100.00,0.00,0.00,4.10,89.90,3.30,0.50,0.80
McNairy County,1,0.00,100.00,0.00,0.00,0.00,0.00,6.00,90.10,2.00,0.30,0.30
McPherson County,1,0.00,0.00,0.00,100.00,0.00,0.00,1.20,92.20,3.80,0.60,0.80
Mecklenburg County,19,94.74,52.63,10.53,31.58,0.00,5.26,32.20,48.80,12.70,0.80,5.50
Mecklenburg County,1,100.00,0.00,0.00,100.00,0.00,0.00,34.90,60.10,2.70,0.30,0.90
Medina County,3,66.67,0.00,0.00,100.00,0.00,0.00,1.40,94.20,1.90,0.20,1.20
Mendocino County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.00,66.20,24.10,6.30,2.20
Merced County,9,100.00,0.00,75.00,12.50,0.00,0.00,4.20,29.50,57.50,2.50,8.10
Mercer County,5,100.00,50.00,0.00,50.00,0.00,0.00,21.20,51.80,16.60,0.60,10.40
Mercer County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.40,96.10,1.80,0.30,0.50
Mercer County,1,100.00,0.00,0.00,100.00,0.00,0.00,5.90,90.60,1.30,0.20,0.70
Mercer County,4,100.00,25.00,0.00,75.00,0.00,0.00,6.30,90.40,1.00,0.20,0.60
Meriwether County,1,100.00,0.00,0.00,100.00,0.00,0.00,39.40,56.50,2.20,0.40,0.70
Mesa County,8,100.00,0.00,12.50,87.50,0.00,0.00,1.00,82.00,14.10,1.50,0.90
Metcalfe County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.90,95.30,1.60,0.20,0.20
Miami-Dade County,52,93.88,50.00,30.95,16.67,0.00,0.00,18.90,14.80,66.20,0.30,1.70
Middlesex County,1,100.00,0.00,0.00,100.00,0.00,0.00,5.40,84.60,5.80,0.20,3.00
Middlesex County,7,85.71,0.00,28.57,71.43,0.00,0.00,5.50,74.60,7.50,0.30,11.10
Middlesex County,3,100.00,33.33,0.00,66.67,0.00,0.00,11.20,45.40,19.90,0.60,24.00
Midland County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.40,92.00,2.50,0.50,2.40
Midland County,6,100.00,0.00,20.00,60.00,20.00,0.00,6.80,48.60,42.40,1.10,1.60
Mifflin County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.80,96.40,1.30,0.10,0.50
Mille Lacs County,1,100.00,0.00,0.00,0.00,100.00,0.00,0.50,89.90,1.80,6.00,0.50
Milwaukee County,22,100.00,61.90,9.52,28.57,0.00,0.00,27.20,53.00,14.20,0.90,3.90
Mineral County,1,0.00,0.00,0.00,100.00,0.00,0.00,0.50,91.30,2.80,1.90,0.80
Mineral County,1,100.00,0.00,0.00,100.00,0.00,0.00,3.10,94.20,0.90,0.20,0.40
Minnehaha County,2,100.00,0.00,0.00,100.00,0.00,0.00,4.60,84.20,4.90,2.70,1.90
Mississippi County,4,50.00,50.00,0.00,50.00,0.00,0.00,34.90,59.40,4.00,0.50,0.50
Missoula County,4,100.00,0.00,0.00,100.00,0.00,0.00,0.60,89.70,3.10,2.90,1.50
Mitchell County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.70,93.10,4.60,0.90,0.50
Mobile County,12,91.67,27.27,0.00,72.73,0.00,0.00,35.30,57.80,2.80,1.00,2.00
Moffat County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.50,82.20,14.30,1.50,0.80
Mohave County,13,100.00,0.00,18.18,81.82,0.00,0.00,1.30,78.00,15.80,2.90,1.20
Monmouth County,4,100.00,25.00,0.00,75.00,0.00,0.00,7.70,75.70,10.50,0.30,5.50
Monongalia County,5,100.00,20.00,0.00,80.00,0.00,0.00,3.90,89.00,2.00,0.20,3.20
Monroe County,1,100.00,100.00,0.00,0.00,0.00,0.00,41.10,54.70,1.20,1.30,0.40
Monroe County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.40,96.60,1.60,0.20,0.50
Monroe County,1,100.00,0.00,0.00,100.00,0.00,0.00,3.50,84.50,3.30,0.30,6.40
Monroe County,2,100.00,0.00,0.00,100.00,0.00,0.00,30.80,67.00,1.10,0.30,0.20
Monroe County,5,100.00,40.00,0.00,60.00,0.00,0.00,16.10,71.50,8.10,0.40,3.60
Monroe County,3,100.00,0.00,0.00,100.00,0.00,0.00,15.10,68.20,14.60,0.50,2.40
Monroe County,1,100.00,0.00,0.00,0.00,100.00,0.00,1.50,91.40,4.00,1.30,0.80
Montague County,2,100.00,0.00,0.00,100.00,0.00,0.00,0.80,86.50,10.50,1.40,0.40
Montcalm County,1,100.00,0.00,0.00,100.00,0.00,0.00,2.40,92.10,3.40,0.60,0.50
Monterey County,8,100.00,0.00,42.86,57.14,0.00,0.00,3.50,31.20,57.40,2.70,6.90
Montezuma County,1,100.00,0.00,0.00,0.00,100.00,0.00,0.50,73.20,12.20,13.00,0.90
Montgomery County,4,100.00,66.67,0.00,33.33,0.00,0.00,56.70,36.30,3.40,0.30,2.60
Montgomery County,1,0.00,0.00,0.00,0.00,0.00,0.00,0.60,92.30,3.60,1.30,0.70
Montgomery County,1,0.00,0.00,0.00,100.00,0.00,0.00,3.40,93.60,1.70,0.20,0.40
Montgomery County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.00,92.50,4.50,0.40,0.60
Montgomery County,9,88.89,55.56,11.11,33.33,0.00,0.00,18.80,46.00,18.70,0.70,15.20
Montgomery County,16,100.00,56.25,0.00,43.75,0.00,0.00,21.10,71.90,2.60,0.20,2.10
Montgomery County,4,100.00,66.67,0.00,33.33,0.00,0.00,9.40,77.10,4.80,0.20,7.40
Montgomery County,4,100.00,25.00,0.00,75.00,0.00,0.00,19.70,64.90,9.60,0.70,2.50
Montgomery County,6,100.00,16.67,0.00,83.33,0.00,0.00,4.90,68.60,22.50,1.00,2.70
Montgomery County,1,100.00,0.00,0.00,100.00,0.00,0.00,4.20,84.70,3.00,0.30,5.90
Montrose County,1,100.00,0.00,0.00,0.00,0.00,0.00,0.70,76.50,20.20,1.80,0.80
Moore County,2,100.00,0.00,0.00,100.00,0.00,0.00,13.00,77.30,6.30,1.00,1.20
Moore County,1,100.00,0.00,0.00,100.00,0.00,0.00,3.00,34.90,52.80,1.50,8.60
Morehouse Parish County,1,100.00,100.00,0.00,0.00,0.00,0.00,47.90,49.60,1.20,0.20,0.50
Morgan County,1,100.00,0.00,0.00,100.00,0.00,0.00,3.10,60.10,35.30,1.60,0.70
Morton County,1,100.00,0.00,0.00,0.00,100.00,0.00,0.90,90.80,2.70,3.90,0.40
Mower County,1,100.00,0.00,0.00,100.00,0.00,0.00,3.40,81.70,11.20,0.50,2.30
Muhlenberg County,2,100.00,0.00,0.00,100.00,0.00,0.00,5.00,92.20,1.40,0.20,0.30
Multnomah County,19,100.00,21.05,0.00,78.95,0.00,0.00,5.70,71.30,11.20,1.50,7.20
Muscogee County,3,100.00,50.00,0.00,50.00,0.00,0.00,46.10,42.40,7.50,0.50,2.50
Muskingum County,1,100.00,0.00,0.00,100.00,0.00,0.00,4.00,91.80,1.00,0.20,0.40
Muskogee County,4,100.00,50.00,0.00,50.00,0.00,0.00,11.00,57.30,5.70,18.70,0.70
Nacogdoches County,2,100.00,0.00,0.00,100.00,0.00,0.00,18.30,60.30,18.50,0.90,1.70
Napa County,6,83.33,0.00,50.00,50.00,0.00,0.00,2.40,53.70,33.70,1.20,8.10
Nash County,1,100.00,0.00,100.00,0.00,0.00,0.00,39.40,51.60,6.60,0.90,1.00
Nassau County,6,100.00,16.67,0.00,83.33,0.00,0.00,6.50,87.20,3.80,0.50,1.00
Nassau County,3,100.00,33.33,33.33,33.33,0.00,0.00,12.60,62.30,16.10,0.50,9.10
Natrona County,5,100.00,0.00,0.00,100.00,0.00,0.00,1.70,86.80,8.10,1.40,0.90
Navajo County,4,100.00,0.00,0.00,50.00,50.00,0.00,1.30,42.20,11.10,44.90,0.70
Nelson County,1,100.00,0.00,0.00,100.00,0.00,0.00,5.30,90.60,2.10,0.20,0.60
Neshoba County,1,100.00,0.00,0.00,100.00,0.00,0.00,21.20,59.10,2.00,16.40,0.40
Nevada County,3,100.00,0.00,0.00,100.00,0.00,0.00,0.60,85.60,9.20,1.20,1.40
New Castle County,9,100.00,71.43,0.00,28.57,0.00,0.00,24.90,59.50,9.40,0.40,5.20
New Hanover County,3,100.00,0.00,0.00,100.00,0.00,0.00,14.60,76.90,5.40,0.60,1.40
New Haven County,3,100.00,33.33,33.33,33.33,0.00,0.00,14.20,65.00,16.80,0.50,4.20
New London County,4,100.00,33.33,0.00,66.67,0.00,0.00,6.90,76.30,9.90,1.10,4.50
New York County,31,96.67,74.07,22.22,3.70,0.00,0.00,18.30,47.10,25.90,1.20,12.50
Newberry County,1,100.00,0.00,0.00,100.00,0.00,0.00,31.30,60.00,7.50,0.80,0.70
Newport News County,4,100.00,75.00,0.00,25.00,0.00,0.00,41.10,45.20,8.50,0.60,3.20
Newport County,1,100.00,0.00,100.00,0.00,0.00,0.00,4.10,86.70,5.30,0.50,1.80
Newton County,3,100.00,66.67,0.00,33.33,0.00,0.00,43.00,50.00,4.90,0.40,1.10
Newton County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.00,86.80,5.00,2.40,1.60
Nicholas County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.30,97.00,0.70,0.60,0.40
Noble County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.80,82.20,3.30,9.10,0.50
Nolan County,2,100.00,0.00,0.00,100.00,0.00,0.00,5.20,57.70,36.00,1.00,0.70
Norfolk County,3,100.00,0.00,0.00,100.00,0.00,0.00,6.90,77.80,4.00,0.20,10.20
Norfolk County,7,100.00,57.14,0.00,42.86,0.00,0.00,42.70,44.00,7.50,0.70,3.70
Northampton County,1,100.00,0.00,0.00,100.00,0.00,0.00,6.30,78.50,12.00,0.40,2.90
Nueces County,9,88.89,12.50,75.00,12.50,0.00,0.00,4.40,30.90,62.40,0.80,2.00
Nye County,4,100.00,25.00,0.00,75.00,0.00,0.00,2.70,77.50,14.40,2.00,1.80
Oakland County,9,87.50,33.33,0.00,66.67,0.00,0.00,14.50,73.30,3.80,0.30,6.50
Ocean County,6,83.33,20.00,0.00,60.00,0.00,20.00,3.50,85.00,8.90,0.30,2.00
Oconee County,1,0.00,0.00,0.00,100.00,0.00,0.00,7.80,85.20,4.80,0.30,0.80
Oconto County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.30,95.40,1.70,1.40,0.40
Okaloosa County,5,100.00,0.00,25.00,75.00,0.00,0.00,10.10,74.70,8.50,0.70,3.20
Okanogan County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.80,66.40,19.00,12.60,1.00
Okfuskee County,1,0.00,0.00,0.00,100.00,0.00,0.00,8.00,61.80,4.00,20.50,0.20
Oklahoma County,42,92.50,42.86,11.90,38.10,4.76,2.38,15.70,57.70,16.20,4.20,3.40
Okmulgee County,5,100.00,20.00,0.00,80.00,0.00,0.00,8.60,63.50,3.70,16.80,0.40
Oldham County,1,100.00,100.00,0.00,0.00,0.00,0.00,4.40,88.70,3.80,0.50,1.60
Oneida County,1,100.00,0.00,0.00,100.00,0.00,0.00,6.80,83.00,5.30,0.30,3.70
Onondaga County,7,100.00,83.33,0.00,16.67,0.00,0.00,11.70,77.80,4.60,0.90,3.60
Onslow County,2,100.00,0.00,0.00,100.00,0.00,0.00,15.80,66.90,12.10,0.90,2.20
Ontario County,1,100.00,100.00,0.00,0.00,0.00,0.00,2.60,90.60,4.30,0.30,1.20
Orange County,51,82.93,10.26,58.97,23.08,0.00,5.13,2.10,42.00,34.30,1.10,19.60
Orange County,26,84.00,41.67,25.00,29.17,0.00,0.00,22.20,43.30,29.20,0.60,5.60
Orange County,1,100.00,0.00,100.00,0.00,0.00,0.00,1.10,95.70,1.30,0.40,0.40
Orange County,1,100.00,100.00,0.00,0.00,0.00,0.00,12.20,69.60,8.40,0.60,7.70
Orange County,5,80.00,40.00,0.00,60.00,0.00,0.00,11.80,66.10,19.40,0.80,2.80
Orange County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.60,95.70,1.30,0.30,0.50
Orangeburg County,1,0.00,100.00,0.00,0.00,0.00,0.00,62.20,33.60,2.10,0.60,1.00
Orleans Parish County,9,100.00,88.89,0.00,11.11,0.00,0.00,59.80,31.20,5.50,0.40,3.00
Orleans County,1,100.00,0.00,0.00,100.00,0.00,0.00,6.70,86.40,4.70,0.80,0.50
Osage County,2,100.00,0.00,0.00,100.00,0.00,0.00,11.30,64.20,3.30,14.70,0.30
Osceola County,2,100.00,100.00,0.00,0.00,0.00,0.00,13.40,36.10,49.70,0.80,3.00
Osceola County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.80,95.20,1.60,0.60,0.30
Oswego County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.10,94.40,2.30,0.50,0.70
Otero County,4,100.00,0.00,100.00,0.00,0.00,0.00,4.20,50.80,36.50,7.30,1.50
Otsego County,1,100.00,0.00,0.00,0.00,0.00,0.00,2.20,91.70,3.50,0.20,1.40
Ottawa County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.80,84.50,9.40,0.60,2.90
Ottawa County,2,100.00,0.00,0.00,100.00,0.00,0.00,1.20,66.00,5.30,19.50,0.70
Ouachita Parish County,4,100.00,100.00,0.00,0.00,0.00,0.00,37.30,58.50,2.20,0.30,1.00
Outagamie County,4,100.00,50.00,25.00,25.00,0.00,0.00,1.30,88.40,4.10,1.80,3.40
Overton County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.70,96.20,1.30,0.40,0.30
Owen County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.50,96.40,1.30,0.40,0.50
Owsley County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.50,97.40,1.00,0.30,0.10
Owyhee County,1,100.00,0.00,100.00,0.00,0.00,0.00,0.80,68.20,26.50,4.50,0.70
Oxford County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.40,95.80,1.20,0.40,0.70
Page County,1,100.00,0.00,0.00,0.00,0.00,0.00,2.20,94.40,1.90,0.20,0.40
Palm Beach County,13,91.67,23.08,23.08,53.85,0.00,0.00,18.80,57.30,20.70,0.60,2.70
Panola County,1,0.00,100.00,0.00,0.00,0.00,0.00,16.00,73.10,9.10,0.60,0.50
Park County,2,100.00,0.00,0.00,100.00,0.00,0.00,0.60,89.50,6.20,1.30,1.10
Park County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.30,93.70,2.80,1.20,0.40
Parker County,5,100.00,20.00,0.00,80.00,0.00,0.00,1.70,84.40,11.40,0.90,0.70
Pasco County,6,100.00,0.00,0.00,100.00,0.00,0.00,5.60,77.40,13.40,0.40,2.40
Passaic County,8,100.00,60.00,20.00,20.00,0.00,0.00,14.80,42.90,39.60,1.50,5.70
Paulding County,2,50.00,0.00,0.00,100.00,0.00,0.00,18.00,73.80,5.70,0.40,1.10
Payne County,3,66.67,0.00,0.00,100.00,0.00,0.00,3.90,77.30,4.50,5.30,4.50
Peach County,3,100.00,0.00,0.00,100.00,0.00,0.00,45.10,45.30,7.30,0.50,1.00
Pearl River County,1,100.00,0.00,0.00,100.00,0.00,0.00,12.80,81.70,3.00,0.60,0.50
Pecos County,1,100.00,0.00,100.00,0.00,0.00,0.00,4.40,26.50,67.60,1.10,1.20
Pemiscot County,1,100.00,0.00,0.00,0.00,0.00,0.00,26.70,69.30,2.20,0.50,0.40
Pendleton County,1,0.00,0.00,0.00,100.00,0.00,0.00,2.40,94.80,1.10,0.30,0.20
Pennington County,9,88.89,0.00,0.00,87.50,12.50,0.00,1.60,80.40,4.90,10.00,1.20
Penobscot County,4,100.00,0.00,0.00,100.00,0.00,0.00,0.90,94.10,1.30,1.20,1.10
Peoria County,3,100.00,66.67,33.33,0.00,0.00,0.00,18.10,71.20,4.60,0.40,3.70
Perry County,2,100.00,0.00,0.00,100.00,0.00,0.00,2.20,92.40,2.80,0.80,0.20
Perry County,2,100.00,0.00,0.00,100.00,0.00,0.00,1.70,95.70,0.80,0.20,0.50
Perry County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.50,97.00,0.80,0.30,0.10
Pershing County,1,100.00,0.00,0.00,100.00,0.00,0.00,4.20,66.50,23.30,4.40,1.20
Person County,3,100.00,50.00,0.00,50.00,0.00,0.00,27.30,66.40,4.20,0.90,0.50
Pettis County,3,66.67,0.00,0.00,100.00,0.00,0.00,3.40,85.50,8.30,0.70,0.70
Philadelphia County,22,85.00,85.71,4.76,9.52,0.00,0.00,44.10,35.80,13.60,0.80,7.20
Phillips County,2,100.00,100.00,0.00,0.00,0.00,0.00,61.60,35.60,1.70,0.40,0.40
Phillips County,1,100.00,0.00,0.00,0.00,0.00,0.00,1.00,76.60,20.60,0.80,0.60
Phillips County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.10,85.50,2.10,8.40,0.30
Pickaway County,2,100.00,0.00,0.00,100.00,0.00,0.00,3.70,93.00,1.30,0.30,0.40
Pickens County,1,100.00,100.00,0.00,0.00,0.00,0.00,40.20,54.70,4.10,0.20,0.30
Pickens County,2,100.00,50.00,0.00,50.00,0.00,0.00,1.70,93.10,3.10,0.50,0.80
Pickens County,2,100.00,0.00,0.00,100.00,0.00,0.00,6.90,86.40,3.40,0.30,1.90
Pierce County,28,96.15,22.73,13.64,54.55,9.09,0.00,7.40,68.40,10.20,1.70,6.60
Pike County,1,100.00,0.00,0.00,0.00,0.00,0.00,10.50,86.00,1.60,0.30,0.50
Pike County,2,100.00,0.00,0.00,100.00,0.00,0.00,0.80,97.10,0.80,0.10,0.60
Pike County,3,50.00,0.00,0.00,100.00,0.00,0.00,1.10,95.50,0.90,0.60,0.30
Pima County,40,89.19,6.45,54.84,38.71,0.00,0.00,4.10,53.30,36.10,4.30,3.10
Pinal County,10,88.89,11.11,22.22,66.67,0.00,0.00,4.90,57.90,29.20,6.80,1.90
Pine County,1,0.00,0.00,0.00,100.00,0.00,0.00,2.40,89.80,2.90,3.20,0.60
Pinellas County,19,94.44,47.06,0.00,52.94,0.00,0.00,10.90,75.40,8.80,0.40,3.40
Pitt County,5,100.00,80.00,0.00,20.00,0.00,0.00,34.80,56.20,5.90,0.50,1.90
Pittsburg County,4,100.00,50.00,0.00,50.00,0.00,0.00,3.60,70.20,4.60,14.60,0.50
Placer County,7,100.00,14.29,14.29,71.43,0.00,0.00,1.70,74.20,13.50,1.10,7.10
Plymouth County,3,100.00,0.00,33.33,66.67,0.00,0.00,10.00,83.70,3.60,0.30,1.50
Pocahontas County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.10,95.80,1.50,0.30,0.20
Poinsett County,1,100.00,0.00,0.00,100.00,0.00,0.00,8.00,87.50,2.70,0.30,0.30
Polk County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.50,88.60,6.40,2.00,0.60
Polk County,20,95.00,10.00,30.00,60.00,0.00,0.00,15.70,62.10,19.60,0.60,1.90
Polk County,1,0.00,0.00,0.00,100.00,0.00,0.00,13.00,72.10,13.00,0.70,0.80
Polk County,10,90.00,20.00,0.00,80.00,0.00,0.00,6.70,79.20,8.00,0.40,4.20
Polk County,2,100.00,0.00,100.00,0.00,0.00,0.00,0.80,79.50,13.00,2.50,2.00
Polk County,1,100.00,0.00,0.00,100.00,0.00,0.00,11.40,71.00,14.40,2.20,0.70
Polk County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.40,95.40,1.70,1.10,0.50
Pontotoc County,1,100.00,0.00,0.00,100.00,0.00,0.00,15.60,77.00,6.30,0.60,0.30
Pontotoc County,5,100.00,0.00,0.00,100.00,0.00,0.00,2.50,67.40,4.80,18.20,0.80
Pope County,5,100.00,0.00,0.00,100.00,0.00,0.00,3.20,84.80,8.40,1.00,1.20
Portage County,2,100.00,50.00,0.00,50.00,0.00,0.00,4.50,90.20,1.60,0.20,1.90
Porter County,2,100.00,50.00,0.00,50.00,0.00,0.00,3.80,84.10,9.50,0.40,1.50
Portsmouth County,3,66.67,100.00,0.00,0.00,0.00,0.00,53.40,39.30,4.00,0.50,1.40
Pottawatomie County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.40,89.70,5.20,0.90,1.00
Pottawatomie County,3,66.67,0.00,0.00,100.00,0.00,0.00,3.20,73.20,4.90,13.20,0.70
Pottawattamie County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.60,88.70,7.20,0.70,0.80
Potter County,10,90.00,0.00,55.56,33.33,0.00,0.00,10.60,46.30,37.40,1.30,4.80
Powhatan County,1,100.00,0.00,0.00,100.00,0.00,0.00,12.60,83.50,2.00,0.30,0.60
Pratt County,1,100.00,0.00,100.00,0.00,0.00,0.00,1.40,88.90,6.80,1.00,0.80
Prince Edward County,1,100.00,100.00,0.00,0.00,0.00,0.00,32.60,62.40,2.50,0.30,1.20
Prince George's County,14,84.62,92.86,7.14,0.00,0.00,0.00,64.70,14.20,16.90,1.00,4.60
Prince William County,3,66.67,33.33,33.33,33.33,0.00,0.00,21.50,45.70,22.00,1.10,8.40
Providence County,3,100.00,66.67,0.00,33.33,0.00,0.00,11.40,64.10,20.90,1.20,4.40
Pueblo County,20,94.44,5.00,60.00,30.00,5.00,0.00,2.50,52.90,42.50,3.00,1.00
Pulaski County,14,100.00,50.00,0.00,50.00,0.00,0.00,36.00,54.00,6.00,0.50,2.20
Pulaski County,2,100.00,0.00,0.00,100.00,0.00,0.00,5.30,91.10,1.50,0.20,0.60
Putnam County,4,100.00,100.00,0.00,0.00,0.00,0.00,16.60,71.70,9.60,0.60,0.70
Putnam County,2,100.00,50.00,0.00,50.00,0.00,0.00,1.10,95.60,1.10,0.30,0.90
Quay County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.80,50.60,44.70,2.50,1.20
Queens County,5,100.00,50.00,0.00,50.00,0.00,0.00,20.80,26.20,28.00,1.30,25.80
Rabun County,1,100.00,100.00,0.00,0.00,0.00,0.00,1.60,87.70,8.40,0.50,0.90
Racine County,3,100.00,66.67,0.00,33.33,0.00,0.00,11.70,73.10,12.50,0.60,1.30
Raleigh County,2,100.00,100.00,0.00,0.00,0.00,0.00,8.20,87.60,1.50,0.30,1.00
Ramsey County,12,100.00,41.67,0.00,33.33,8.33,8.33,11.70,64.20,7.30,1.00,13.80
Ramsey County,1,0.00,0.00,0.00,0.00,100.00,0.00,0.50,85.20,2.50,8.90,0.50
Randolph County,1,100.00,100.00,0.00,0.00,0.00,0.00,60.90,36.30,2.10,0.10,0.50
Randolph County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.70,94.50,3.20,0.40,0.30
Randolph County,1,100.00,0.00,0.00,0.00,0.00,0.00,5.90,89.30,1.90,0.40,0.60
Randolph County,6,100.00,16.67,16.67,66.67,0.00,0.00,6.30,80.10,11.10,1.00,1.20
Randolph County,2,100.00,0.00,0.00,100.00,0.00,0.00,1.50,96.10,0.80,0.30,0.30
Rankin County,2,100.00,0.00,0.00,100.00,0.00,0.00,20.20,75.00,2.60,0.20,1.20
Rapides Parish County,5,100.00,60.00,0.00,40.00,0.00,0.00,32.00,61.60,2.80,0.90,1.50
Real County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.90,69.60,26.70,1.90,0.30
Red River Parish County,2,50.00,50.00,0.00,50.00,0.00,0.00,39.50,57.60,1.60,0.50,0.20
Red River County,1,100.00,100.00,0.00,0.00,0.00,0.00,17.40,73.10,7.20,1.50,0.30
Refugio County,1,100.00,100.00,0.00,0.00,0.00,0.00,6.70,42.50,49.80,1.00,0.80
Reno County,2,100.00,0.00,0.00,100.00,0.00,0.00,3.40,84.80,9.00,0.80,0.60
Rensselaer County,2,100.00,100.00,0.00,0.00,0.00,0.00,7.30,84.30,4.50,0.30,2.50
Richland County,3,100.00,33.33,0.00,66.67,0.00,0.00,9.50,86.20,1.70,0.20,0.70
Richland County,1,100.00,100.00,0.00,0.00,0.00,0.00,46.90,44.10,5.10,0.40,2.70
Richmond County,4,100.00,50.00,0.00,50.00,0.00,0.00,55.50,36.40,4.60,0.40,1.80
Richmond County,1,100.00,100.00,0.00,0.00,0.00,0.00,11.90,62.60,18.10,0.60,8.30
Richmond County,8,87.50,62.50,0.00,37.50,0.00,0.00,48.93,41.03,6.60,0.59,2.33
Riley County,1,100.00,0.00,0.00,100.00,0.00,0.00,6.90,77.10,8.10,0.80,4.80
Ripley County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.40,96.20,1.70,0.30,0.70
Ritchie County,1,0.00,0.00,0.00,100.00,0.00,0.00,0.40,97.70,0.70,0.20,0.20
Riverside County,66,98.25,13.64,52.27,31.82,0.00,0.00,7.00,37.40,47.40,1.90,6.80
Roane County,1,100.00,0.00,0.00,0.00,0.00,0.00,2.70,93.10,1.70,0.40,0.60
Roane County,3,100.00,0.00,0.00,100.00,0.00,0.00,0.40,97.10,0.90,0.20,0.30
Roanoke County,4,100.00,50.00,0.00,50.00,0.00,0.00,17.74,73.37,4.35,0.30,2.74
Robeson County,4,100.00,33.33,0.00,66.67,0.00,0.00,24.70,26.60,8.10,39.70,0.80
Rock Island County,3,100.00,100.00,0.00,0.00,0.00,0.00,9.80,73.70,12.40,0.60,2.30
Rock County,1,100.00,100.00,0.00,0.00,0.00,0.00,5.10,83.60,8.20,0.50,1.20
Rockcastle County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.40,97.60,0.80,0.30,0.10
Rockdale County,1,100.00,0.00,0.00,100.00,0.00,0.00,51.00,36.40,10.00,0.50,1.90
Rockingham County,1,0.00,0.00,0.00,100.00,0.00,0.00,19.00,72.90,5.90,0.50,0.60
Rockingham County,4,100.00,0.00,0.00,100.00,0.00,0.00,0.90,93.30,2.60,0.20,1.90
Rockingham County,3,100.00,0.00,0.00,100.00,0.00,0.00,2.10,90.10,6.00,0.60,0.70
Rockland County,1,100.00,0.00,0.00,100.00,0.00,0.00,13.10,63.40,17.10,0.50,6.70
Rockwall County,1,0.00,0.00,100.00,0.00,0.00,0.00,6.10,72.60,17.00,0.80,2.80
Rogers County,4,100.00,0.00,25.00,50.00,0.00,25.00,1.30,72.70,4.20,13.20,1.30
Rolette County,1,0.00,0.00,0.00,0.00,100.00,0.00,0.40,20.20,1.60,76.40,0.10
Rowan County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.90,94.60,1.50,0.20,0.80
Rowan County,2,100.00,100.00,0.00,0.00,0.00,0.00,16.60,72.90,8.20,0.60,1.10
Runnels County,1,100.00,0.00,0.00,0.00,0.00,0.00,2.60,62.30,33.90,1.60,0.70
